month,yield
1975-08,0.043285
1975-09,0.043817
1975-10,0.041775
1975-11,0.040968
1975-12,0.041488
1976-01,0.038027
1976-02,0.036647
1976-03,0.036499
1976-04,0.036441
1976-05,0.036924
1976-06,0.036935
1976-07,0.036372
1976-08,0.03698
1976-09,0.036493
1976-10,0.038436
1976-11,0.039361
1976-12,0.038682
1977-01,0.039467
1977-02,0.041023
1977-03,0.04165
1977-04,0.042874
1977-05,0.043574
1977-06,0.043912
1977-07,0.043979
1977-08,0.045558
1977-09,0.046763
1977-10,0.04861
1977-11,0.048932
1977-12,0.049776
1978-01,0.052225
1978-02,0.053458
1978-03,0.054042
1978-04,0.05217
1978-05,0.050029
1978-06,0.050276
1978-07,0.050897
1978-08,0.047963
1978-09,0.048316
1978-10,0.050066
1978-11,0.053356
1978-12,0.052752
1979-01,0.051282
1979-02,0.052496
1979-03,0.051948
1979-04,0.051388
1979-05,0.053077
1979-06,0.052507
1979-07,0.052548
1979-08,0.050776
1979-09,0.050737
1979-10,0.053174
1979-11,0.054034
1979-12,0.052412
1980-01,0.051398
1980-02,0.04987
1980-03,0.055396
1980-04,0.056764
1980-05,0.05472
1980-06,0.051832
1980-07,0.049944
1980-08,0.048799
1980-09,0.047984
1980-10,0.046851
1980-11,0.045173
1980-12,0.046142
1981-01,0.046617
1981-02,0.048598
1981-03,0.047147
1981-04,0.046999
1981-05,0.048241
1981-06,0.048299
1981-07,0.049832
1981-08,0.049974
1981-09,0.055114
1981-10,0.05473
1981-11,0.053648
1981-12,0.053554
1982-01,0.056777
1982-02,0.058428
1982-03,0.06065
1982-04,0.05804
1982-05,0.058247
1982-06,0.062078
1982-07,0.06237
1982-08,0.062322
1982-09,0.055964
1982-10,0.05167
1982-11,0.049698
1982-12,0.049283
1983-01,0.047702
1983-02,0.04698
1983-03,0.04549
1983-04,0.043881
1983-05,0.04223
1983-06,0.041707
1983-07,0.041677
1983-08,0.04298
1983-09,0.041866
1983-10,0.04192
1983-11,0.042736
1983-12,0.043127
1984-01,0.042788
1984-02,0.045455
1984-03,0.045616
1984-04,0.045833
1984-05,0.046403
1984-06,0.047747
1984-07,0.048533
1984-08,0.044749
1984-09,0.044431
1984-10,0.045085
1984-11,0.044979
1984-12,0.045775
1985-01,0.044134
1985-02,0.042104
1985-03,0.042698
1985-04,0.042562
1985-05,0.041716
1985-06,0.040974
1985-07,0.040381
1985-08,0.041459
1985-09,0.042586
1985-10,0.042213
1985-11,0.039899
1985-12,0.038109
1986-01,0.038136
1986-02,0.036372
1986-03,0.034524
1986-04,0.03381
1986-05,0.03385
1986-06,0.033021
1986-07,0.033902
1986-08,0.033415
1986-09,0.034536
1986-10,0.034737
1986-11,0.033714
1986-12,0.033307
1987-01,0.03138
1987-02,0.029619
1987-03,0.028513
1987-04,0.029036
1987-05,0.029263
1987-06,0.028268
1987-07,0.027626
1987-08,0.026149
1987-09,0.027173
1987-10,0.031085
1987-11,0.035755
1987-12,0.036556
1988-01,0.035356
1988-02,0.034496
1988-03,0.033685
1988-04,0.034438
1988-05,0.035676
1988-06,0.034097
1988-07,0.034584
1988-08,0.035583
1988-09,0.035299
1988-10,0.034427
1988-11,0.035572
1988-12,0.035262
1989-01,0.034384
1989-02,0.033662
1989-03,0.034199
1989-04,0.033367
1989-05,0.032473
1989-06,0.032036
1989-07,0.031405
1989-08,0.030429
1989-09,0.030895
1989-10,0.031079
1989-11,0.032108
1989-12,0.031727
1990-01,0.032768
1990-02,0.033984
1990-03,0.033446
1990-04,0.033818
1990-05,0.032986
1990-06,0.032354
1990-07,0.032571
1990-08,0.035626
1990-09,0.037507
1990-10,0.038834
1990-11,0.038102
1990-12,0.036776
1991-01,0.037195
1991-02,0.033438
1991-03,0.032529
1991-04,0.031948
1991-05,0.032117
1991-06,0.032118
1991-07,0.032068
1991-08,0.031424
1991-09,0.031715
1991-10,0.031672
1991-11,0.031682
1991-12,0.031402
1992-01,0.029417
1992-02,0.029765
1992-03,0.030244
1992-04,0.03024
1992-05,0.0297
1992-06,0.030176
1992-07,0.029739
1992-08,0.02959
1992-09,0.029631
1992-10,0.030028
1992-11,0.029286
1992-12,0.028441
1993-01,0.028521
1993-02,0.028179
1993-03,0.027723
1993-04,0.028196
1993-05,0.028089
1993-06,0.027943
1993-07,0.027991
1993-08,0.027569
1993-09,0.027262
1993-10,0.027032
1993-11,0.027134
1993-12,0.026999
1994-01,0.026688
1994-02,0.02686
1994-03,0.027403
1994-04,0.028516
1994-05,0.02838
1994-06,0.02823
1994-07,0.028511
1994-08,0.027787
1994-09,0.027668
1994-10,0.028057
1994-11,0.028409
1994-12,0.028933
1995-01,0.028329
1995-02,0.027349
1995-03,0.026706
1995-04,0.026074
1995-05,0.025404
